"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7480","n/e","6292","867","n/e","0","n/e","n/e","5896"
"Sweden (SE)","03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7306","n/e","6292","775","n/e","0","n/e","n/e","5967"
"Sweden (SE)","03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7183","n/e","6292","768","n/e","0","n/e","n/e","6054"
"Sweden (SE)","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6740","n/e","6294","768","n/e","0","n/e","n/e","6128"
"Sweden (SE)","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6590","n/e","6293","774","n/e","0","n/e","n/e","6130"
"Sweden (SE)","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6887","n/e","6292","797","n/e","0","n/e","n/e","6067"
"Sweden (SE)","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7858","n/e","6294","814","n/e","0","n/e","n/e","5958"
"Sweden (SE)","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9024","n/e","6292","865","n/e","0","n/e","n/e","5915"
"Sweden (SE)","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10187","n/e","6294","915","n/e","0","n/e","n/e","5887"
"Sweden (SE)","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","10","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11334","n/e","6292","960","n/e","0","n/e","n/e","5907"
